"","week_beginning","areauri","region","deaths"
"295",2020-04-27,"S12000042","Dundee City",22
"296",2020-04-27,"S12000036","City of Edinburgh",61
"297",2020-04-27,"S12000014","Falkirk",16
"298",2020-04-27,"S08000019","Forth Valley",32
"299",2020-04-27,"S08000028","Western Isles",0
"300",2020-04-27,"S08000025","Orkney",0
"301",2020-04-27,"S12000049","Glasgow City",85
"302",2020-04-27,"S12000006","Dumfries and Galloway",6
"303",2020-04-27,"S12000021","North Ayrshire",12
"304",2020-04-27,"S08000029","Fife",25
"305",2020-04-27,"S12000008","East Ayrshire",10
"306",2020-04-27,"S12000005","Clackmannanshire",11
"307",2020-04-27,"S12000033","Aberdeen City",15
"308",2020-04-27,"S08000026","Shetland",1
"309",2020-04-27,"S12000039","West Dunbartonshire",17
"310",2020-04-27,"S12000028","South Ayrshire",12
"311",2020-04-27,"S08000031","Greater Glasgow and Clyde",172
"312",2020-04-27,"S12000026","Scottish Borders",4
"313",2020-04-27,"S12000017","Highland",3
"314",2020-04-27,"S08000015","Ayrshire and Arran",34
"315",2020-04-27,"S12000013","Na h-Eileanan Siar",0
"316",2020-04-27,"S12000023","Orkney Islands",0
"317",2020-04-27,"S08000020","Grampian",30
"318",2020-04-27,"S12000030","Stirling",5
"319",2020-04-27,"S12000048","Perth and Kinross",5
"320",2020-04-27,"S12000035","Argyll and Bute",13
"321",2020-04-27,"S08000032","Lanarkshire",74
"322",2020-04-27,"S12000020","Moray",2
"323",2020-04-27,"S08000017","Dumfries and Galloway",6
"324",2020-04-27,"S12000011","East Renfrewshire",11
"325",2020-04-27,"S12000045","East Dunbartonshire",20
"326",2020-04-27,"S08000016","Borders",4
"327",2020-04-27,"S12000040","West Lothian",6
"328",2020-04-27,"S08000022","Highland",16
"329",2020-04-27,"S12000041","Angus",7
"330",2020-05-04,"S12000013","Na h-Eileanan Siar",0
"331",2020-05-04,"S08000030","Tayside",33
"332",2020-05-04,"S08000015","Ayrshire and Arran",28
"333",2020-05-04,"S12000034","Aberdeenshire",11
"334",2020-05-04,"S12000014","Falkirk",17
"335",2020-05-04,"S12000040","West Lothian",13
"336",2020-05-04,"S08000032","Lanarkshire",51
"337",2020-05-04,"S12000039","West Dunbartonshire",11
"338",2020-05-04,"S08000025","Orkney",0
"339",2020-05-04,"S08000024","Lothian",81
"340",2020-05-04,"S12000011","East Renfrewshire",19
"341",2020-05-04,"S92000003","Scotland",414
"342",2020-05-04,"S12000029","South Lanarkshire",36
"343",2020-05-04,"S08000020","Grampian",28
"344",2020-05-04,"S12000038","Renfrewshire",11
"345",2020-05-04,"S08000017","Dumfries and Galloway",6
"346",2020-05-04,"S12000027","Shetland Islands",0
"347",2020-05-04,"S12000036","City of Edinburgh",43
"348",2020-05-04,"S12000010","East Lothian",7
"349",2020-05-04,"S08000016","Borders",3
"350",2020-05-04,"S12000030","Stirling",5
"351",2020-05-04,"S12000023","Orkney Islands",0
"352",2020-05-04,"S12000005","Clackmannanshire",9
"353",2020-05-04,"S12000026","Scottish Borders",3
"354",2020-05-04,"S08000026","Shetland",0
"355",2020-05-04,"S08000028","Western Isles",0
"356",2020-05-04,"S08000029","Fife",19
"357",2020-05-04,"S12000021","North Ayrshire",7
"358",2020-05-04,"S12000035","Argyll and Bute",3
"359",2020-05-04,"S12000047","Fife",19
"360",2020-05-04,"S08000022","Highland",9
"361",2020-05-04,"S12000048","Perth and Kinross",11
"362",2020-05-04,"S12000006","Dumfries and Galloway",6
"363",2020-05-04,"S12000049","Glasgow City",58
"364",2020-05-04,"S12000042","Dundee City",17
"365",2020-05-04,"S12000020","Moray",2
"366",2020-05-04,"S12000041","Angus",5
"367",2020-05-04,"S08000031","Greater Glasgow and Clyde",125
"368",2020-05-04,"S12000045","East Dunbartonshire",22
"369",2020-05-04,"S12000008","East Ayrshire",12
"370",2020-05-04,"S12000050","North Lanarkshire",15
"371",2020-05-04,"S12000017","Highland",6
"372",2020-05-04,"S08000019","Forth Valley",31
"373",2020-05-04,"S12000028","South Ayrshire",9
"374",2020-05-04,"S12000018","Inverclyde",4
"375",2020-05-04,"S12000033","Aberdeen City",15
"376",2020-05-04,"S12000019","Midlothian",18
"377",2020-05-11,"S12000047","Fife",15
"378",2020-05-11,"S12000021","North Ayrshire",8
"379",2020-05-11,"S12000018","Inverclyde",3
"380",2020-05-11,"S08000025","Orkney",0
"381",2020-05-11,"S12000034","Aberdeenshire",8
"382",2020-05-11,"S12000041","Angus",5
"383",2020-05-11,"S12000048","Perth and Kinross",8
"384",2020-05-11,"S12000038","Renfrewshire",17
"385",2020-05-11,"S12000008","East Ayrshire",4
"386",2020-05-11,"S12000033","Aberdeen City",16
"387",2020-05-11,"S08000031","Greater Glasgow and Clyde",118
"388",2020-05-11,"S12000039","West Dunbartonshire",12
"389",2020-05-11,"S12000030","Stirling",2
"390",2020-05-11,"S12000006","Dumfries and Galloway",1
"391",2020-05-11,"S12000035","Argyll and Bute",1
"392",2020-05-11,"S08000032","Lanarkshire",46
"393",2020-05-11,"S12000036","City of Edinburgh",39
"394",2020-05-11,"S08000022","Highland",6
"395",2020-05-11,"S12000014","Falkirk",9
"396",2020-05-11,"S08000020","Grampian",27
"397",2020-05-11,"S12000013","Na h-Eileanan Siar",0
"398",2020-05-11,"S08000017","Dumfries and Galloway",1
"399",2020-05-11,"S12000050","North Lanarkshire",20
"400",2020-05-11,"S12000027","Shetland Islands",0
"401",2020-05-11,"S12000042","Dundee City",12
"402",2020-05-11,"S08000015","Ayrshire and Arran",21
"403",2020-05-11,"S08000019","Forth Valley",17
"404",2020-05-11,"S12000040","West Lothian",3
"405",2020-05-11,"S08000016","Borders",6
"406",2020-05-11,"S12000020","Moray",3
"407",2020-05-11,"S08000024","Lothian",54
"408",2020-05-11,"S12000029","South Lanarkshire",26
"409",2020-05-11,"S12000028","South Ayrshire",9
"410",2020-05-11,"S08000026","Shetland",0
"411",2020-05-11,"S12000017","Highland",5
"412",2020-05-11,"S12000010","East Lothian",3
"413",2020-05-11,"S12000026","Scottish Borders",6
"414",2020-05-11,"S12000011","East Renfrewshire",11
"415",2020-05-11,"S12000045","East Dunbartonshire",16
"416",2020-05-11,"S12000019","Midlothian",9
"417",2020-05-11,"S12000005","Clackmannanshire",6
"418",2020-05-11,"S08000029","Fife",15
"419",2020-05-11,"S92000003","Scotland",336
"420",2020-05-11,"S12000049","Glasgow City",59
"421",2020-05-11,"S08000030","Tayside",25
"422",2020-05-11,"S12000023","Orkney Islands",0
"423",2020-05-11,"S08000028","Western Isles",0
"424",2020-05-18,"S08000031","Greater Glasgow and Clyde",75
"425",2020-05-18,"S12000028","South Ayrshire",6
"426",2020-05-18,"S12000035","Argyll and Bute",2
"427",2020-05-18,"S12000033","Aberdeen City",13
"428",2020-05-18,"S12000018","Inverclyde",3
"429",2020-05-18,"S12000034","Aberdeenshire",3
"430",2020-05-18,"S12000027","Shetland Islands",0
"431",2020-05-18,"S12000026","Scottish Borders",4
"432",2020-05-18,"S12000006","Dumfries and Galloway",0
"433",2020-05-18,"S08000029","Fife",4
"434",2020-05-18,"S12000005","Clackmannanshire",2
"435",2020-05-18,"S08000025","Orkney",0
"436",2020-05-18,"S12000017","Highland",2
"437",2020-05-18,"S12000014","Falkirk",8
"438",2020-05-18,"S12000042","Dundee City",13
"439",2020-05-18,"S12000045","East Dunbartonshire",18
"440",2020-05-18,"S12000039","West Dunbartonshire",4
"441",2020-05-18,"S12000038","Renfrewshire",13
"442",2020-05-18,"S08000026","Shetland",0
"443",2020-05-18,"S12000029","South Lanarkshire",22
"444",2020-05-18,"S12000030","Stirling",2
"445",2020-05-18,"S08000019","Forth Valley",12
"446",2020-05-18,"S08000017","Dumfries and Galloway",0
"447",2020-05-18,"S12000049","Glasgow City",32
"448",2020-05-18,"S08000028","Western Isles",0
"449",2020-05-18,"S08000015","Ayrshire and Arran",21
"450",2020-05-18,"S12000041","Angus",3
"451",2020-05-18,"S12000020","Moray",1
"452",2020-05-18,"S08000024","Lothian",44
"453",2020-05-18,"S12000011","East Renfrewshire",5
"454",2020-05-18,"S12000050","North Lanarkshire",8
"455",2020-05-18,"S12000021","North Ayrshire",12
"456",2020-05-18,"S12000040","West Lothian",9
"457",2020-05-18,"S92000003","Scotland",230
"458",2020-05-18,"S12000019","Midlothian",7
